time,source,target,value,direction
1525180295,0xf4a2eff88a408ff4c4550148151c33c93442619e,0xd2c17bdaa359d4d94d21bad00c51ef47c7be417e,0.06,0
1525180346,0xf4a2eff88a408ff4c4550148151c33c93442619e,0x743e8e2f0795c73c815d84cf63614d5e8f73686e,0.244,0
1525180466,0xf4a2eff88a408ff4c4550148151c33c93442619e,0xef526b6fa9944aae5fbf270dc63570f7e5f9f23b,2.4,0
1525180566,0xf4a2eff88a408ff4c4550148151c33c93442619e,0x3c6153910cb2864be8be3fcc6fb3965a69fb855f,1.2,0
1525182529,0xf4a2eff88a408ff4c4550148151c33c93442619e,0xe4585cc63a4d7de748453e437c0296ae74ae8994,0.02,0
1525185532,0xf4a2eff88a408ff4c4550148151c33c93442619e,0xa026ec6aaa3c61b52fc69e49b0916627c11efaca,0.0001,0
1525246869,0xf4a2eff88a408ff4c4550148151c33c93442619e,0x3c6153910cb2864be8be3fcc6fb3965a69fb855f,0.2,0
1525249430,0xf4a2eff88a408ff4c4550148151c33c93442619e,0xa026ec6aaa3c61b52fc69e49b0916627c11efaca,0.00404,0
1525254994,0xf4a2eff88a408ff4c4550148151c33c93442619e,0x3c6153910cb2864be8be3fcc6fb3965a69fb855f,0.005,0
1525255685,0xf4a2eff88a408ff4c4550148151c33c93442619e,0x431da0f2c26cfd0a1df3fa38e3b68502dab3e658,1.1,0
1525255881,0xf4a2eff88a408ff4c4550148151c33c93442619e,0x8d4270cf58f10eda5e02f2d03c44ffdd9916694c,1.16,0
1525259627,0xf4a2eff88a408ff4c4550148151c33c93442619e,0x1b83b509b6b623e537557cfc6f36d671fdaa6504,5.64,0
1525267522,0xf4a2eff88a408ff4c4550148151c33c93442619e,0xd0652cc0848eae40f40143f7d3da3c466f0513c2,1.18,0
1525302394,0xf4a2eff88a408ff4c4550148151c33c93442619e,0x5f5fa025d9db0a3a26264bfa93aa27875111d9b1,0.0,0
